# 500;1000;6;0.05;0.9;0.015
0,27.957706885915737,318.30116465518984,(* (1.0) (AI_guess))
1,30.412055004444635,439.9057960241095,(neg (* (-1.0) (AI_guess)))
2,30.40921120712841,305.1774156601796,(* (+ (-2.1737823441907564) (Tree_Y)) (AI_guess))
3,32.48584978905661,397.00104935607254,(* (AI_guess) (1.0953116715679165))
4,32.969612429882744,389.2518373972876,(* (AI_guess) (Self_Y))
5,35.31393877713889,368.23192463488516,(* (Self_Y) (AI_guess))
6,43.98658437796005,368.4096567196166,(/ (/ (+ (0.21350523208910577) (2.725230862090674)) (-2.687288758299978)) (neg (AI_guess)))
7,48.872756095936566,461.4564039976637,(/ (* (+ (0.21350523208910577) (2.725230862090674)) (-2.687288758299978)) (neg (AI_guess)))
8,51.16326531166027,424.8156157588785,(- (* (Self_Y) (AI_guess)) (Tree_X))
9,63.02705299801721,464.16007795509546,(+ (* (Self_Y) (AI_guess)) (-2.717719555436049))
10,71.76682476717319,382.537140916873,(* (AI_guess) (Self_Y))
11,84.64969456360525,423.12021383906597,(* (+ (-2.1737823441907564) (Tree_Y)) (AI_guess))
12,105.45158441863637,540.0485864141277,(* (neg (neg (- (* (AI_guess) (Self_Y)) (1.0)))) (FieldHeight))
13,110.29988844295463,506.1211933032437,(* (* (AI_guess) (1.0953116715679165)) (+ (2.342667571020651) (FieldHeight)))
14,119.79655954825348,469.20060688167206,(- (* (AI_guess) (Self_Y)) (2.4711656858706412))
15,118.19652981333788,452.12765761243753,(* (AI_guess) (Self_Y))
16,125.54015343593734,520.7530231836664,(* (AI_guess) (+ (Tree_Y) (FieldHeight)))
17,120.92762976495506,499.6316351412681,(/ (* (+ (+ (* (AI_guess) (+ (Self_X) (-0.6935340341178966))) (* (FieldWidth) (Self_X))) (2.725230862090674)) (-2.687288758299978)) (neg (AI_guess)))
18,120.86652082901973,523.2359498998686,(- (* (AI_guess) (Self_Y)) (2.4711656858706412))
19,120.88161042978534,462.85151681278273,(/ (+ (-2.1737823441907564) (Tree_Y)) (AI_guess))
20,120.45333818667984,517.170214326438,(* (AI_guess) (1.0))
21,120.61959034117912,488.22512693915854,(- (* (AI_guess) (Self_Y)) (Self_X))
22,120.9000268903301,582.5289098749456,(- (* (AI_guess) (Self_Y)) (Self_X))
23,120.64756185093947,512.4690056574656,(/ (* (+ (+ (- (+ (2.270888138393344) (0.0)) (neg (-0.3536577481562784))) (* (FieldWidth) (Self_X))) (2.725230862090674)) (-2.687288758299978)) (neg (AI_guess)))
24,123.1862069475034,517.7080299357018,(/ (* (+ (* (- (+ (Self_Y) (Tree_X)) (neg (AI_guess))) (* (* (Tree_Y) (1.0)) (Self_X))) (2.725230862090674)) (-2.687288758299978)) (neg (AI_guess)))
25,126.7070558562224,550.0409926892158,(* (- (- (* (* (-2.1737823441907564) (Tree_Y)) (* (-2.928952291416837) (AI_guess))) (-1.9579758825736315)) (Self_Y)) (Self_Y))
26,123.798910416687,477.4712091055714,(* (* (AI_guess) (Self_Y)) (+ (Tree_Y) (0.05067753504056505)))
27,122.32110342120339,471.9512735364364,(/ (- (* (AI_guess) (Self_Y)) (2.4711656858706412)) (1.0953116715679165))
28,129.40290108351616,551.2781072919989,(- (* (AI_guess) (Self_Y)) (2.4711656858706412))
29,122.72055627674561,500.5894852740999,(* (/ (-1.5834242346724337) (neg (AI_guess))) (1.0))
30,129.42024443015313,449.8537224518632,(* (* (AI_guess) (+ (Tree_Y) (FieldHeight))) (Self_Y))
31,122.88786400944765,687.3127227050721,(- (* (AI_guess) (+ (2.342667571020651) (FieldHeight))) (2.4711656858706412))
32,131.826254354812,564.8440605898068,(- (* (AI_guess) (Self_Y)) (2.4711656858706412))
33,128.59532795619182,550.6342839948004,(* (+ (-0.5095447671757176) (Tree_Y)) (* (/ (FieldWidth) (AI_guess)) (2.0435780927254275)))
34,130.36167029279042,652.0036613690955,(+ (* (Self_Y) (AI_guess)) (-2.717719555436049))
35,130.75050451619285,555.6073029821531,(* (neg (neg (- (* (AI_guess) (Self_Y)) (1.0)))) (FieldHeight))
36,128.8688570850226,525.2580959159003,(- (* (AI_guess) (Self_Y)) (2.4711656858706412))
37,127.6495554592878,581.0198017171163,(+ (* (Self_Y) (AI_guess)) (-2.717719555436049))
38,127.70233109934924,733.9072223709805,(* (neg (neg (- (* (AI_guess) (Self_Y)) (1.0)))) (1.9397415188455813))
39,128.75156443771445,469.7532761146382,(* (neg (neg (- (* (AI_guess) (Self_Y)) (1.0)))) (FieldHeight))
40,129.55253005246732,580.774420088815,(/ (* (+ (+ (* (+ (2.270888138393344) (0.0)) (neg (-0.3536577481562784))) (* (1.027060984094799) (Self_X))) (2.725230862090674)) (-2.687288758299978)) (neg (AI_guess)))
41,130.6770811665343,590.6552938035961,(* (/ (* (- (-0.29634516186584703) (+ (neg (1.137970645853608)) (-1.2445241867589185))) (-2.687288758299978)) (neg (AI_guess))) (+ (2.342667571020651) (FieldHeight)))
42,125.40883412383712,519.3007002802556,(* (neg (neg (- (* (AI_guess) (Self_Y)) (1.0)))) (FieldHeight))
43,128.90763794560982,644.4722987010149,(* (- (* (* (AI_guess) (neg (-1.0))) (Tree_Y)) (2.4711656858706412)) (Self_Y))
44,129.6453799043945,529.2255469982518,(* (- (* (AI_guess) (FieldWidth)) (2.4711656858706412)) (1.0953116715679165))
45,124.27698815064554,457.7498658116353,(* (+ (* (Self_Y) (AI_guess)) (-2.717719555436049)) (1.1803568354027014))
46,127.47787302947742,541.4217018789835,(* (AI_guess) (1.1803568354027014))
